nama,Latitude,Longitude
Jemaat Mahanaim Jl. Teluk Buli North Perak Surabaya City East Java Indonesia,-7.2142031,112.7330813
Gereja HKBP Pogot Jalan Sidotopo Wetan Indah II Sidotopo Wetan Surabaya City East Java Indonesia,-7.2298629,112.76002
Gereja Katolik Ratu Pencinta Damai Tanah Kali Kedinding Surabaya City East Java Indonesia,-7.2325228,112.7651673
Bethany Church Indonesia Kapas Madya II Gading Surabaya City East Java Indonesia,-7.236725,112.767689
Gereja Kristen Indonesia (GKI) Lebak Jaya,-7.244118,112.777994
Gereja Katolik St Marinus Yohanes Jalan Memet Sastrawirya Kompleks Kenjeran Surabaya City East Java Indonesia,-7.247398,112.790501
Gereja Bethel Tabernakel Jl. Babatan Pantai Tim. Dukuh Sutorejo Surabaya City East Java Indonesia,-7.2557736,112.7946916
Gereja Bethany Indonesia Yobel Griya Iii Kalisari Surabaya City East Java Indonesia,-7.271038,112.803277
GBI Prince of Peace Jalan Ploso Baru Ploso Surabaya City East Java Indonesia,-7.2567656,112.7712799
Gereja Kristus Yesus Surabaya Jalan Dharma Husada Indah II Mulyorejo Surabaya City East Java Indonesia,-7.2743076,112.7734086
Gereja Reformed Injili Indonesia Kertajaya Jalan Kertajaya Indah II Manyar Sabrangan Surabaya City East Java Indonesia,-7.278042,112.773845
GKA Gloria Galaxy Mulyorejo Surabaya City East Java Indonesia,-7.2754842,112.785891
Gereja JKI Kuasa Mujizat Jalan Arif Rahman Hakim Klampis Ngasem Surabaya City East Java Indonesia,-7.289216,112.776096
Gereja Jemaat Kristen Indonesia - Bukit Zion,-7.2931998,112.7700054
TOWER OF CHRIST Mulyorejo Surabaya City East Java Indonesia,-7.2708634,112.7921226
GBI Antiokhia Jalan Keputih Tegal Timur III Keputih Surabaya City East Java Indonesia,-7.2907649,112.8046114
GKJW Jemaat Sukolilo Jalan Semolowaru Bahari Semolowaru Surabaya City East Java Indonesia,-7.3039938,112.7877608
Gereja Kristen Abdiel Gloria Nirwana Eksekutif Jalan Wonorejo Permai VIII Wonorejo Surabaya City East Java Indonesia,-7.3130471,112.7883024
Gereja Kristus Tuhan Surabaya Timur Jalan Dharma Husada Utara III Mojo Surabaya City East Java Indonesia,-7.2650426,112.7725858
Bethany Family Blessing Nirwana Eksekutif,-7.3135633,112.7931276
GBI MARANATHA 2 Jalan Kertajaya Indah Timur XVI Gebang Putih Surabaya City East Java Indonesia,-7.2778984,112.7893463
Gereja Kristen Indonesia Pondok Tjandra Indah Jl. Taman Asri Utara Tambakrejo Sidoarjo Regency East Java Indonesia,-7.3404194,112.7768201
Gereja Kristen Indonesia Nederland,-7.3416366,112.7383184
Gereja Kebangunan Kalam Allah Jalan Diponegoro Lemahputro Sidoarjo Regency East Java Indonesia,-7.45611,112.714601
GKJW Jemaat Waru Jalan Raya Waru Kedungrejo Sidoarjo Regency East Java Indonesia,-7.361518,112.7296675
Gereja Bethany Indonesia Juanda,-7.382087,112.754013
Gereja Katolik Paroki Salib Suci Tropodo Sidoarjo Regency East Java Indonesia,-7.3559915,112.7582598
Gereja Oikumene Juanda,-7.3868297,112.7691536
Bethany Church of Indonesia Juanda,-7.382087,112.754013
Gereja Katolik Paroki Santo Paulus Juanda,-7.3793246,112.7375257
Gereja Sidang Jemaat Allah Satelit Getsemani,-7.394913,112.798634
Gereja Kristen Indonesia (GKI) Sidoarjo,-7.4480165,112.7238375
GPIB Bethesda Sidokumpul Sidoarjo Regency East Java Indonesia,-7.4473038,112.7207069
GPdI Elohim Sidokumpul Sidoarjo Regency East Java Indonesia,-7.451794,112.720713
Successful Bethany Families Father's House Jalan Pahlawan Sidokumpul Sidoarjo Regency East Java Indonesia,-7.449741,112.711186
HKBP Sidoarjo Sidokumpul Sidoarjo Regency East Java Indonesia,-7.4503072,112.7100389
Gereja Mawar Sharon Sidoarjo Sidoarjo Lemahputro Sidoarjo Regency East Java Indonesia,-7.4497847,112.7049938
Gereja GKJW Jati Sidoarjo Regency East Java Indonesia,-7.4478819,112.7024162
Gereja Allah Baik Banjarbendo Sidoarjo Regency East Java Indonesia,-7.449922,112.69932
Sancta Maria Catholic Church Annuntiata Sidokumpul Sidoarjo Regency East Java Indonesia,-7.4477049,112.7246151
Gereja Bethel Indonesia CENTRO Sidokare Sidoarjo Jawa Timur Indonesia,-7.460982,112.716382
Gereja Protestan di Indonesia Bagian Barat Bethesta Jl. Untung Suropati Sidokumpul Sidoarjo Regency East Java Indonesia,-7.4472534,112.7207361
Gereja Satelit Praban Jl.Praban Selatan Sidokare Sidoarjo Regency East Java Indonesia,-7.461414,112.7149905
GPIA Glory to Glory,-7.4657662,112.7127453
GBI ROCK Candi,-7.4717354,112.7291847
Gereja Pantekosta Di Indonesia Pangkemiri Sidoarjo Regency East Java Indonesia,-7.492984,112.6660436
GAB El Gibor,-7.492984,112.6660436
Gereja Katolik Gempol Juwetkenongo Sidoarjo Regency East Java Indonesia,-7.5383703,112.6898866
Gereja Katholik Saint Andreas Porong,-7.5394084,112.6938064
Gereja Kristen Jawi Wetan Tunjung Sekar,-7.931738,112.637666
Gereja Kristus di Indonesia (GKDI) Malang,-7.9412139,112.6092981
Gereja Kristen Jawi Wetan Jemaat Dinoyo,-7.941469,112.60879
True Jesus Church Jalan Tidar Sakti Karangbesuki Malang City East Java Indonesia,-7.964945,112.6095495
YHS Church MALANG Jalan Tenaga Baru 4 Blimbing Malang City East Java Indonesia,-7.9485365,112.6506295
Gereja GBI Betlehem,-7.971538,112.638226
Gereja Katolik Cor jesu,-7.967256,112.6319345
Gereja Katolik Katedral Ijen,-7.9687923,112.6241515
Mawar Sharon Church of Malang,-7.9735425,112.6141102
GKJW Congregation Church Malang,-7.98317,112.625994
Gereja Pantekosta Jalan Agus Salim Kiduldalem Malang City East Java Indonesia,-7.9843063,112.6334201
Gereja Hati Kudus Yesus Jalan MGR Sugiyopranoto Kiduldalem Malang City East Java Indonesia,-7.9807163,112.6307416
Gereja Kalam Kudus Malang,-7.9762007,112.6281157
GKAI Bethesda Bugis,-7.9524547,112.6878059
Greja Kristen Jawi Wetan Jemaat Pulungdowo,-8.012411,112.743457
Bethany TOC Buring,-7.995174,112.682678
The congregation of the Evangelical Christian Church archipelago Narwastu,-7.979854,112.659622
Bethany Sawojajar,-7.9761287,112.6712849
PD Kana BTU,-7.985782,112.672794
Gereja Katolik Trinitas,-8.0131941,112.7570287
"GEREJA KRISTEN BAITHANI ""HOSANA"" Dawuhan Sengon Purwodadi Pasuruan JATIM",-7.8409512,112.7827414
Gereja Kristen Baithani Wonosari Pasuruan East Java Indonesia,-7.901449,112.8288511
Gereja Kristen Baithani Pos PI Kletak,-7.9197911,112.8568813
Gereja Kristen Baithani Pos PI Mororejo,-7.9189666,112.885816
GSJA Betlehem Pasuruan,-7.6403174,112.9035239
Gereja Kristen Indonesia (GKI) Pasuruan,-7.6489288,112.9020876
Gereja Kristen Jawi Wetan Tejowangi,-7.6366049,112.9085326
GPIB Pniel Jalan Cemara Kandangsapi Pasuruan City East Java Indonesia,-7.6408895,112.9142573
Gereja Pantekosta di Indonesia Rumah Doa Agape,-7.6409699,112.91543
GKJW Jemaat Pasuruan,-7.6412847,112.9144516
"GPIB Jemaat ""IMMANUEL"" di Bangil",-7.6012551,112.7895606
